id,user,created_at,source,clean_text,original_text,favorite_count,retweet_count,city,province,hashtags,urls,mentions
1269969048604946433,PEnerds,Mon Jun 08 12:26:30 +0000 2020,Twitter for iPhone,"['congrats', 'school', 'recognize', 'phecanada', 'qdpe', 'award', 'recipient', 'wesupportphe', 'taphens', 'nsteachersunion', 'withwozney', 'zachchurchill', 'loriamunro', 'drboulter', 'tcrce_ns']",Congrats to our 11 #NS schools that were recognized as @PHECanada #QDPE Award Recipients! #wesupportPHE @taphens @NSTeachersUnion @withwozney @zachchurchill @loriamunro @DrBoulter @TCRCE_NS,25,10,Digby,Nova Scotia,"['NS', 'QDPE', 'wesupportPHE']",['https://twitter.com/i/web/status/1269969048604946433'],"['PHECanada', 'taphens']"
1269967755140186112,RalphPotsy,Mon Jun 08 12:21:22 +0000 2020,Twitter for iPhone,"['ibda14u', 'world', 'large', 'child', 'safe', 'baby']","@IBda14U World’s largest, and not child safe baby pen!",1,0,Stratford,Ontario,,,['IBda14U']
1269965278055555073,pairsonnalitesN,Mon Jun 08 12:11:31 +0000 2020,dlvr.it,"['fight', 'stigma', 'shopping', 'return', 'ireland', 'zealand', 'eradicate', 'virus', 'global', 'death', 'toll', 'pass', '400000', 'unveil', 'package', 'measure', 'good', 'combat', 'child', 'abuse', 'online', 'demand', 'illegal', 'content', 'involve', 'minors…']","Fighting Stigma : Shopping returns in Ireland, New Zealand eradicates virus and global death toll passes 400000 ...: The EU is set to unveil a package of measures to better combat child sex abuse after online demand for illegal content involving minors… https://t.co/JfRsgV4Sxh",0,0,Varennes,Québec,,['https://twitter.com/i/web/status/1269965278055555073'],
1269954364191510528,BigJMcC,Mon Jun 08 11:28:09 +0000 2020,Twitter for iPhone,"['climb', 'economic', 'hole', 'leave', 'coronavirus', 'require', 'hand', 'deck', 'many', 'female', 'hand', 'miss', 'workforce', 'long', 'adequate', 'child', 'care', 'miss', 'province', 'nsed', 'zachchurchill', 'kellyregan']","JV: Climbing out of the economic hole left by the coronavirus will require all hands on deck, but many female hands will be missing from the workforce as long as adequate child care is missing from the province. #nsed #ZachChurchill #KellyRegan https://t.co/IlqNRCf8tW",0,2,Halifax,Nova Scotia,,['https://twitter.com/i/web/status/1269954364191510528'],
1269920375464267777,pairsonnalitesN,Mon Jun 08 09:13:06 +0000 2020,dlvr.it,"['fight', 'stigma', 'coronavirus', 'step', 'ease', 'lockdown', 'psni', 'child', 'protection', 'charity', 'warn', 'lockdown', 'likely', 'lead', 'increase', 'risk', 'child', 'sexual', 'abuse', 'northern', 'ireland']",Fighting Stigma : Coronavirus in NI: Further steps to ease lockdown: The PSNI and a child protection charity are warning that the lockdown is likely to lead to an increased risk of child sexual abuse in Northern Ireland. https://t.co/aggbTQJTfC,0,0,Varennes,Québec,,['https://twitter.com/i/web/status/1269920375464267777'],
1269917118989914112,acrosspoem2,Mon Jun 08 09:00:09 +0000 2020,Twitter for iPad,"['student', 'yycbedu', 'high', 'school', 'send', 'adrianalagrange', 'jkenney', 'today', 'hope', 'minister', 'premier', 'follow', 'request', 'would', 'help', 'kid', 'feel', 'safe', 'graduation', 'year', 'mariefrrenaud', 'janisirwin', 'rachelnotley', 'ableg', 'notsafe', 'grad2020']",2 students from a @yyCBEdu high school  sent this to @AdrianaLaGrange @jkenney today. I hope that the minister and premier follows their request.  It would help these kids feel safe at their graduation this year. @MarieFrRenaud @JanisIrwin @RachelNotley #ableg #notsafe #Grad2020 https://t.co/o7E83vM2gx,567,203,Calgary,Alberta,,['https://twitter.com/i/web/status/1269917118989914112'],"['yyCBEdu', 'AdrianaLaGrange', 'jkenney']"
1269905262170615808,pairsonnalitesN,Mon Jun 08 08:13:02 +0000 2020,dlvr.it,"['fight', 'stigma', 'coronavirus', 'increase', 'risk', 'online', 'child', 'sexual', 'abuse', 'head', 'police', 'service', 'northern', 'ireland', 'public', 'protection', 'branch', 'say', 'child', 'risk', 'number', 'coincide', 'factor']","Fighting Stigma : Coronavirus: Increased risk of online child sexual abuse: The head of the Police Service of Northern Ireland's public protection branch said children are at risk because of a number of ""coinciding factors"". https://t.co/mQVvKrEu0E",0,0,Varennes,Québec,,['https://twitter.com/i/web/status/1269905262170615808'],
1269905260299956224,pairsonnalitesN,Mon Jun 08 08:13:02 +0000 2020,dlvr.it,"['fight', 'stigma', 'coronavirus', 'ireland', 'live', 'update', 'today', 'change', 'ireland', 'enters', 'phase', 'lockdown', 'exit', 'public', 'urge', 'play', 'part', 'keep', 'child', 'safe', 'abuse', 'coronavirus', 'lockdown', 'police', 'child…']",Fighting Stigma : Coronavirus Ireland Live Updates: Today's changes as Ireland enters Phase Two of lockdown exit: The public has been urged to play their part in keeping children safe from abuse during the coronavirus lockdown. Police and a child… https://t.co/qLv3VdTDcd,0,0,Varennes,Québec,,['https://twitter.com/i/web/status/1269905260299956224'],
1269871527526191104,jdouglaslittle,Mon Jun 08 05:58:59 +0000 2020,Twitter for Android,"['jdeq', 'lalalalachica', 'sflecce', 'good', 'stuff']",@jdeq @lalalalachica @Sflecce Good stuff.,1,0,Vancouver,British Columbia,,,"['jdeq', 'lalalalachica', 'Sflecce']"
1269857142011580417,deecdee3,Mon Jun 08 05:01:50 +0000 2020,Twitter for iPhone,"['biancoresearch', 'jessefelder', 'fordnation', 'sflecce', 'take', 'note', 'happen', 'open', 'many', 'quick']",@biancoresearch @jessefelder @fordnation @Sflecce take note of what happens when you open with too many and too quick,0,0,Vaughan,Ontario,,,"['biancoresearch', 'jessefelder', 'fordnation', 'Sflecce']"
