id,created_at,screen_name,source,clean_text,original_text,favorite_count,retweet_count,hashtags,urls,mentions,city,province,longitude,latitude
1292233266892877824,Sat Aug 08 22:56:34 +0000 2020,motelonfire,Twitter Web App,"['cbsnews', '97000', 'child', 'reportedly', 'test', 'positive', 'coronavirus', 'week', 'school', 'gear', 'instruction']","RT @CBSNews: 97,000 children reportedly test positive for coronavirus in two weeks as schools gear up for instruction  https://t.co/Z8OQePa…",0,0,,,['CBSNews'],Toronto,Ontario,-79.4163,43.70011
1292233249968857089,Sat Aug 08 22:56:29 +0000 2020,mrrumsby,Twitter for Android,"['torontostar', 'sick', 'kid', 'president', 'ronald', 'cohn', 'back', 'back-to-school', 'plan', 'ensure', 'proper', 'physical', 'distancing', 'betwee…']",RT @TorontoStar: Sick Kids President Ronald Cohn will not back a back-to-school plan that does not ensure proper physical distancing betwee…,0,0,,,['TorontoStar'],Welland,Ontario,-79.24958,42.98342
1292233221699231745,Sat Aug 08 22:56:23 +0000 2020,kamorant,Twitter for Android,"['1jakesmith', 'ask', 'rest', 'party', 'sleep', 'night', 'know', 'put', 'kid', 'health', 'risk']","RT @1Jakesmith: When asked how she, and the rest of her party, sleeps at night knowing that they were putting kids’ health at risk, this wa…",0,0,,,['1Jakesmith'],Hamilton,Ontario,-79.84963,43.25011
1292233210244616197,Sat Aug 08 22:56:20 +0000 2020,munstergal,Twitter for Android,"['torontostar', 'icymi', 'sick', 'kid', 'president', 'ronald', 'cohn', 'back', 'back-to-school', 'plan', 'ensure', 'proper', 'physical', 'distancing…']",RT @TorontoStar: #ICYMI Sick Kids President Ronald Cohn will not back a back-to-school plan that does not ensure proper physical distancing…,0,0,['ICYMI'],,['TorontoStar'],Toronto,Ontario,-79.4163,43.70011
1292233112760602630,Sat Aug 08 22:55:57 +0000 2020,TroyUpson,Twitter for iPad,"['sflecce', 'go', 'back', 'care', 'school', 'sorry', 'number', 'go', 'everyone', 'would', 'agree', 'plan', 'ready', 'money', 'value', 'childrens', 'live', 'talks/', 'plan', 'talk', 'desided', '2020']","@Sflecce All this ‘going back to day care or school’ I’m sorry our numbers are going down.  Everyone should and would AGREE these plans are NOT READY,  THERE IS NO MONEY VALUE ON OUR CHILDRENS LIVES.  These talks/ plans, $$$$$$$ should have been TALKED AND DESIDED IN MAY 2020",5,0,,['https://twitter.com/i/web/status/1292233112760602630'],['Sflecce'],Hamilton,Ontario,-79.84963,43.25011
1292233086675980289,Sat Aug 08 22:55:51 +0000 2020,AngieLCoutts,Twitter for Android,"['tylerblack32', 'thread', 'school', 'closure', 'kid', 'expert', 'child', 'adolescent', 'emergency', 'psychiatry', 'expert', 'opinion']","RT @tylerblack32: THREAD:  School closure and kids 

I am an expert in child &amp; adolescent EMERGENCY psychiatry.  This is my expert opinion:…",0,0,,,['tylerblack32'],Calgary,Alberta,-114.08529,51.05011
1292233084105097222,Sat Aug 08 22:55:50 +0000 2020,MsBelvitt,Twitter for iPhone,"['instead', 'high', 'price', 'band-aid', 'solution', 'ppes', 'every', 'school', 'provide', 'low-income', 'family', 'in-home', 'assigned', 'childcare', 'duration', 'school', 'year', 'cheapier', 'address', 'safety', 'learn', 'need', 'digital', 'skill', 'concern']","AND instead of a high price tag “band-aid” solution to PPEs every school,  provide low-income families in-home assigned childcare for the duration of the school year. All of which are cheapier and addresses safety, learning needs &amp; digital skills gap concerns.",0,0,,['https://twitter.com/i/web/status/1292233084105097222'],,Montréal,Québec,-73.972965,45.410095
1292233082020470785,Sat Aug 08 22:55:49 +0000 2020,MsBelvitt,Twitter for iPhone,"['understand', 'fordnation', 'government', 'one', 'alike', 'force', 'hybrid', 'back', 'school', 'in-person', 'e-learning', 'opportunity', 'close', 'digital', 'skill', 'canada/us', 'compare', 'country', 'give', 'every', 'student', 'thread']",I don’t understand why the @fordnation government ones alike don’t use this forced hybrid back to school (in-person) w/ e-learning as a opportunity to close the digital skills gap that we have in Canada/US compared to other G8 countries. Give every student a 👩🏽‍💻 👨🏽‍💻 (thread),0,0,,['https://twitter.com/i/web/status/1292233082020470785'],['fordnation'],Montréal,Québec,-73.972965,45.410095
1292232912339734528,Sat Aug 08 22:55:09 +0000 2020,TheGentYYC,Twitter Web App,"['andrewphung', 'susanjeanreid', 'janisirwin', 'andrew', 'show', 'mind', 'give', 'look', 'retweet', 'make', 'sense', 'inthistogether', 'safeseptember']","@andrewphung @susanjeanreid @JanisIrwin Hi Andrew, fan of the show. You mind giving these a look and a retweet if they make sense? #InThisTogether #SafeSeptember https://t.co/EOWhJbxfTx",1,1,,['https://twitter.com/i/web/status/1292232912339734528'],"['andrewphung', 'susanjeanreid', 'JanisIrwin']",Calgary,Alberta,-114.08529,51.05011
1292232902256730112,Sat Aug 08 22:55:07 +0000 2020,yearwood31,Twitter for iPad,"['pancholi_rakhi', 'choice', 'jkenney', 'properly', 'support', 'safe', 'school', 'reopening', 'lead', 'woman', 'leave', 'workforce']",RT @pancholi_rakhi: The choice by @jkenney NOT to properly support safe school reopening is leading to more women leaving the workforce. Th…,0,0,,,"['pancholi_rakhi', 'jkenney']",,,-113.64258,60.10867
1292232889224970240,Sat Aug 08 22:55:03 +0000 2020,laurie_corraini,Twitter for iPhone,"['tylerblack32', 'thread', 'school', 'closure', 'kid', 'expert', 'child', 'adolescent', 'emergency', 'psychiatry', 'expert', 'opinion']","RT @tylerblack32: THREAD:  School closure and kids 

I am an expert in child &amp; adolescent EMERGENCY psychiatry.  This is my expert opinion:…",0,0,,,['tylerblack32'],Penticton,British Columbia,-119.58584,49.48062
1292232879913697285,Sat Aug 08 22:55:01 +0000 2020,Mrbeck09073704,Twitter for iPhone,"['fouldsiain', 'manufacture', 'covid', 'hysteria', 'parent', 'teacher', 'politician', 'medium', 'expert', 'permanently', 'damaging', 'our…']","RT @FouldsIain: ... With the manufactured Covid hysteria, parents, teachers, politicians, media, and “experts” are permanently damaging our…",0,0,,,['FouldsIain'],Hamilton,Ontario,-79.84963,43.25011
1292232871516635137,Sat Aug 08 22:54:59 +0000 2020,DawnRoseTurner,Twitter for Android,"['least', 'student', 'eight', 'teacher', 'suburban', 'school', 'district', 'atlanta', 'georgia', 'quarantine', 'multiple', 'stud…']","RT @CNN: At least 260 students and eight teachers from a suburban school district in Atlanta, Georgia, were quarantined after multiple stud…",0,0,,,['CNN'],,British Columbia,-125.0032,53.99983
1292232843100332038,Sat Aug 08 22:54:52 +0000 2020,Likesitsimple,Twitter for iPhone,"['covid', 'intelligent', 'costco', 'walmart', 'therefore', 'know', 'school', 'already', 'graduate']","@AOC Covid is very intelligent, it doesn’t go to Costco Walmart etc therefore it knows not to go to school because it already graduated.",1,0,,,['AOC'],,Nova Scotia,-62.99865,45.00015
1292232740549603330,Sat Aug 08 22:54:28 +0000 2020,morvabowman,Twitter for Android,"['erictopol', 'mollyjongfast', 'voguemagazine', 'think', 'testing', 'need', 'return', 'safely', 'school', 'there…']","RT @EricTopol: @MollyJongFast @voguemagazine I think this is the nut: 
""We don’t have the testing we need to return safely to school""
There…",0,0,,,"['EricTopol', 'MollyJongFast', 'voguemagazine']",Winnipeg,Manitoba,-97.14704,49.8844
1292232720341504000,Sat Aug 08 22:54:23 +0000 2020,The_real__jc,Twitter for Android,"['roscoe1945', 'quilltopaper', 'sflecce', 'skin', 'game', 'smart', 'enough', 'shut', 'mouth']",@Roscoe1945 @QuillToPaper @Sflecce Old men with no skin in the game should be smart enough to shut their mouths.,1,0,,,"['Roscoe1945', 'QuillToPaper', 'Sflecce']",Toronto,Ontario,-79.4163,43.70011
1292232581874880512,Sat Aug 08 22:53:50 +0000 2020,susankilfoy,Twitter Web App,"['isellmpls', 'betsy', 'devos', 'purchase', 'position', 'would', 'parent', 'trust', 'unqualified', 'education', 'secretary', 'underst…']",RT @Isellmpls: Betsy DeVos purchased her position. Why would a parent trust to the most unqualified Education Secretary who doesn’t underst…,0,0,,,['Isellmpls'],,Newfoundland and Labrador,-56.0,52.0
1292232551168262144,Sat Aug 08 22:53:43 +0000 2020,ShawnSlaght,Twitter for iPhone,"['thebeaverton', 'sidney', 'crosby', 'would', 'never', 'child', 'play', 'hockey', 'risk', 'get', 'draft', 'edmonton', 'high']",RT @TheBeaverton: Sidney Crosby: “I would never let my children play hockey. The risk of getting drafted by Edmonton is too high” https://t…,0,0,,,['TheBeaverton'],Moose Jaw,Saskatchewan,-105.53445,50.40005
