id,created_at,screen_name,source,clean_text,original_text,is_retweet,favorite_count,retweet_count,hashtags,urls,mentions,city,province,longitude,latitude
1241152147514785792,Fri Mar 20 23:58:26 +0000 2020,BCISLEMAN,Twitter Web Client,"['coronavirus', 'poverty', 'mother', 'skips', 'meal', 'child', 'much', 'coronavirus', 'stimulus', 'focus', 'help', 'poor', 'work', 'class', 'american', 'instead', 'trump', 'want', 'eliminate', 'program', 'help', 'fee', 'work', 'class', 'poor', 'american']","Coronavirus &amp; Poverty: A Mother Skips Meals So Her Children Can Eat https://t.co/ccSAHMdLXL
Much of the #Coronavirus stimulus should focus on helping poor &amp; working class Americans. Instead Trump wants to eliminate programs that help feed working class &amp; poor Americans.",False,0,0,,"['https://nyti.ms/2IYiu0K', 'https://twitter.com/i/web/status/1241152147514785792']",,,,-113.64258,60.10867
1241151794526343168,Fri Mar 20 23:57:01 +0000 2020,BCWildfireWkly,Twitter for Android,"['keep', 'family', 'safe', 'local', 'park', 'outdoor', 'playground', 'equipment', 'city', 'terrace', 'regional', 'district', 'sanitize', 'disinfect', 'look', 'signage', 'playground', 'learn', 'covid-19', 'health', 'safety', 'practice']",Keep yourself + your family safe at local parks! Outdoor playground equipment in the City of Terrace + the Regional District is NOT being sanitized or disinfected. Look for signage at playgrounds. Learn more about COVID-19 and health &amp; safety practices: https://t.co/tz8wxa3rf7 https://t.co/OuNx35AA6n,True,0,0,,,['CityofTerrace'],,British Columbia,-125.0032,53.99983
1241151667309076490,Fri Mar 20 23:56:31 +0000 2020,CityofTerrace,Hootsuite Inc.,"['keep', 'family', 'safe', 'local', 'park', 'outdoor', 'playground', 'equipment', 'city', 'terrace', 'regional', 'district', 'sanitize', 'disinfect', 'look', 'signage', 'playground', 'learn', 'covid-19', 'health', 'safety', 'practice']",Keep yourself + your family safe at local parks! Outdoor playground equipment in the City of Terrace + the Regional District is NOT being sanitized or disinfected. Look for signage at playgrounds. Learn more about COVID-19 and health &amp; safety practices: https://t.co/tz8wxa3rf7 https://t.co/OuNx35AA6n,False,0,1,,['https://twitter.com/i/web/status/1241151667309076490'],,Terrace,British Columbia,-128.60345,54.51634
1241151630096994304,Fri Mar 20 23:56:22 +0000 2020,InclusionBC,TweetDeck,"['hope', 'everyone', 'stay', 'safe', 'cop', 'well', 'possible', 'global', 'challenge', 'posabilities', 'adapt', 'deliver', 'service', 'read', 'late', 'family', 'update', 'covid19', 'covid19updates']","We hope that everyone is staying safe and coping as well as possible during this global challenge. posAbilities is adapting the way that we deliver some of our services. You can read our latest family update at https://t.co/KlBrOWnkm8
#COVID19 #COVID19Updates https://t.co/5uZhztESOE",True,0,0,,,['posAbilitiesCA'],,British Columbia,-125.0032,53.99983
1241151044685611011,Fri Mar 20 23:54:03 +0000 2020,RijoBats4,Twitter for iPhone,"['share', 'coronavirus', 'covid19', 'young', 'people', 'must', 'care', 'parent', 'risk', 'young', 'people', 'die', 'wash', 'hand', 'stay', 'home', 'protect', 'family']","Share this! THIS is #coronavirus #Covid19 This is why YOUNG PEOPLE MUST CARE! Its not just your parents at risk. Young people are dying too. Wash your hands, stay home, protect yourselves and family❤️🙏🏼 https://t.co/sAyjVPHEki",True,0,0,"['coronavirus', 'Covid19']",,['DanielNewman'],Barrie,Ontario,-79.66634,44.40011
1241150583022780416,Fri Mar 20 23:52:13 +0000 2020,GlenStLLC,Twitter for iPhone,"['thefold_', 'stream', 'diverse', 'child', 'book', 'weekly', 'school', 'closure', 'check', 'schedule', 'provide', 'link', 'student', 'register', 'guardian']",@TheFOLD_ will be streaming diverse children’s books weekly during the school closure.  Check out the schedule provided in the link.  Students should register with their guardians. https://t.co/Gk9ROINzKX https://t.co/MTHwaz3XL0,False,6,6,,['https://twitter.com/i/web/status/1241150583022780416'],['TheFOLD_'],Oshawa,Ontario,-78.84957,43.90012
1241149918594514944,Fri Mar 20 23:49:34 +0000 2020,blessed_daddy_,Twitter for Android,"['month', 'try', 'kid', 'technology', 'play', 'outside', 'friend', 'beg', 'outside', 'play', 'friend', 'try', 'technology', 'school', 'work', 'talk', 'family', 'friend', 'keep', 'indoors', 'covid_19']","2 months ago we are trying to get our kids off of technology to go play outside with their friends. Now they are begging to go outside to play with friends and we are trying to get them on technology;to do school work, talk to family and friends, and keep them indoors. #Covid_19",False,1,0,,['https://twitter.com/i/web/status/1241149918594514944'],,,Alberta,-117.469,52.28333
1241149762885128192,Fri Mar 20 23:48:57 +0000 2020,mikep75446070,Twitter for iPhone,"['drmhauslife', 'stay', 'safe', 'inform', 'hear', 'virus', 'stay', 'paper', 'three', 'day', 'self', 'isolate', 'watch', 'hug', 'family']",@DrmhausLife Stay safe inform yourself !! I heard the virus can stay on paper for three days .... self isolate both of you and watch for it!! Hugs to you and your family,False,1,0,,['https://twitter.com/i/web/status/1241149762885128192'],['DrmhausLife'],Delta,British Columbia,-122.9068,49.14399
1241149511990476809,Fri Mar 20 23:47:57 +0000 2020,CampbellLinds,Twitter Web App,"['work', 'school-closure', 'story', 'weekend', 'ottawacitizen', 'local', 'parent', 'still', 'work', 'full-time', 'remotely', 'otherwise', 'think', 'help', 'learn', 'home', 'love', 'talk', 'open']","I'll be working on a few school-closure stories over the weekend for @OttawaCitizen – if you're a local parent still working full-time (remotely or otherwise) and now have to think about helping your kid learn from home, I'd love to talk to you. DMs are open.",True,0,0,,,"['tayblewett', 'OttawaCitizen']",Ottawa,Ontario,-75.69812,45.41117
1241149234252058624,Fri Mar 20 23:46:51 +0000 2020,JewelNaismith3,Twitter Web App,"['work', 'public', 'health', 'official', 'across', 'country', 'keep', 'family', 'safe', 'covid-19', 'situation', 'continue', 'evolve', 'encourage', 'follow', 'theresa', 'cpho_canada', 'govcanhealth', 'late', 'update', 'advice']","We’re working with public health officials across the country to keep you and your family safe. And as the COVID-19 situation continues to evolve, I encourage you to follow Dr. Theresa Tam (@CPHO_Canada) and @GovCanHealth for the latest updates and advice. #FF",True,0,0,,,['JustinTrudeau'],Hamilton,Ontario,-79.84963,43.25011
1241149055016689664,Fri Mar 20 23:46:08 +0000 2020,TJPettigrew,Twitter for iPhone,"['come', 'tdrlive', 'coronavirus', 'poverty', 'mother', 'skips', 'meal', 'child']",Coming up on #TDRlive: Coronavirus and Poverty: A Mother Skips Meals So Her Children Can Eat https://t.co/BBhkUqLSp2,True,0,0,['TDRlive'],['https://www.nytimes.com/2020/03/20/us/coronavirus-poverty-school-lunch.html?referringSource=articleShare'],['TheDamageReport'],,British Columbia,-125.0032,53.99983
1241148055950217216,Fri Mar 20 23:42:10 +0000 2020,posAbilitiesCA,Twitter Web App,"['hope', 'everyone', 'stay', 'safe', 'cop', 'well', 'possible', 'global', 'challenge', 'posabilities', 'adapt', 'deliver', 'service', 'read', 'late', 'family', 'update', 'covid19', 'covid19updates']","We hope that everyone is staying safe and coping as well as possible during this global challenge. posAbilities is adapting the way that we deliver some of our services. You can read our latest family update at https://t.co/KlBrOWnkm8
#COVID19 #COVID19Updates https://t.co/5uZhztESOE",False,4,1,,['https://twitter.com/i/web/status/1241148055950217216'],,Burnaby,British Columbia,-122.95263,49.26636
