id,created_at,screen_name,source,clean_text,original_text,is_retweet,favorite_count,retweet_count,hashtags,urls,mentions,city,province,longitude,latitude
1236799677254770689,Sun Mar 08 23:43:16 +0000 2020,vsoJuniper,Twitter Web App,"['indian', 'friend', 'dinner', 'white', 'friend', 'say', 'fear', 'would', 'catch', 'coronavirus', 'school', 'near', 'chinatown', 'friend', 'ask', 'scar', 'italian', 'say', 'friend', 'point', 'racism', 'say', 'agree', 'disagree']","An Indian friend just had dinner w a white friend who said she feared her kid would catch the coronavirus as her school was near Chinatown. 

My friend asked if she was scared of Italians. She said no. 

My friend pointed out the racism. She said they’d have to agree to disagree.",True,0,0,,,['sairasameerarao'],Ottawa,Ontario,-75.69812,45.41117
1236797491497979904,Sun Mar 08 23:34:35 +0000 2020,BCWildfireWkly,Twitter for Android,"['childcare', 'leave', 'guardian', 'small', 'child', 'subsidize', 'government', 'japan', 'coronavirus', 'outbreak', 'school', 'covid19']","#Childcare #leave for some #guardians of small #children to be #subsidized by #government
#Japan #coronavirus #outbreak #school #COVID19 
https://t.co/Ub78xNoy6p https://t.co/n43uDMKRqv",True,0,0,"['Childcare', 'leave', 'guardians', 'children', 'subsidized', 'government', 'Japan', 'coronavirus', 'outbreak']",,['The_Japan_News'],,British Columbia,-125.0032,53.99983
1236792725812457472,Sun Mar 08 23:15:38 +0000 2020,taupe_fushia,Twitter for iPhone,"['indian', 'friend', 'dinner', 'white', 'friend', 'say', 'fear', 'would', 'catch', 'coronavirus', 'school', 'near', 'chinatown', 'friend', 'ask', 'scar', 'italian', 'say', 'friend', 'point', 'racism', 'say', 'agree', 'disagree']","An Indian friend just had dinner w a white friend who said she feared her kid would catch the coronavirus as her school was near Chinatown. 

My friend asked if she was scared of Italians. She said no. 

My friend pointed out the racism. She said they’d have to agree to disagree.",True,0,0,,,['sairasameerarao'],Quebec,Quebec,-71.21454,46.81228
1236791004201488385,Sun Mar 08 23:08:48 +0000 2020,cscarroll2,Twitter for Android,"['dbeggs13', 'blumenschau', 'child', 'endanger', 'group', 'virus', 'seem', 'fine', 'elderly', 'risk', 'theirplay', 'date', 'care', 'home', 'help', 'contain', 'spread', 'make', 'bad']",@dbeggs13 @blumenschau Children are not the endangered group with this virus. They seem to do just fine. It's the elderly who are most at risk. And their'play dates' in care homes are not helping to contain the spread. They're making it worse.,False,0,0,,['https://twitter.com/i/web/status/1236791004201488385'],"['dbeggs13', 'blumenschau']",Victoria,British Columbia,-123.3693,48.43294
1236788462142935040,Sun Mar 08 22:58:42 +0000 2020,GoodShepherdYMM,Twitter for iPhone,"['virus', 'covid-19', 'create', 'anxiety', 'difficult', 'students/children', 'understand', 'compile', 'information', 'official', 'source', 'keep', 'update', 'risk', 'alberta', 'still', 'consider', 'wearefmcsd', 'rmwb']","A new virus such as COVID-19 can create anxiety and be difficult for students/children to understand. 

We've compiled information from official sources and will keep this updated: https://t.co/Ah7jBSmc5o

The risk in Alberta is still considered low. 

#WeAreFMCSD #ymm #rmwb https://t.co/zwliqw1qZi",True,0,0,,,['FMCSD'],Athabasca,Alberta,-113.28537,54.71687
1236787525764755458,Sun Mar 08 22:54:59 +0000 2020,pat3206,Twitter for iPad,"['trump', 'plan', 'healthcare', 'protect', 'pre-existing', 'condition', 'reduce', 'national', 'debt', 'climate', 'change', 'help', 'middle', 'class', 'violence', 'corona', 'virus', 'plan', 'family', 'make', 'money', 'american', 'people', 'votebluenomatterwho2020']","Trump has no plan for:
* healthcare
* protecting pre-existing conditions 
* reducing the national debt 
* climate change
* helping the middle class
* gun violence
* corona virus

ONLY plan he has
* how his family can make money off the American people 

#VoteBlueNoMatterWho2020",True,0,0,,,['CJ_isnowblue'],Mississauga,Ontario,-79.6583,43.5789
1236785527191482368,Sun Mar 08 22:47:02 +0000 2020,MrsMelocheOCSB,Twitter for Android,"['talk', 'child', 'covid-19', 'coronavirus', 'parent', 'resource', 'nasp', 'ocsb', 'coronavirus', 'wellbeing', 'ottawacspa']",Talking to Children About COVID-19 (Coronavirus): A Parent Resource via NASP https://t.co/XcuVZGk91Z #ocsb #CoronaVirus #wellbeing @OttawaCSPA,True,0,0,"['ocsb', 'CoronaVirus']",['https://www.nasponline.org/resources-and-publications/resources-and-podcasts/school-climate-safety-and-crisis/health-crises/talking-to-children-about-covid-19-(coronavirus)-a-parent-resource?utm_medium=social&utm_source=twitter'],['TDOttawa'],Ottawa,Ontario,-75.69812,45.41117
1236785123498082305,Sun Mar 08 22:45:26 +0000 2020,Serena_writes,Twitter for iPhone,"['czlllaughs', 'alykhansatchu', 'canarymarthaj', 'karldotcom', 'maryamhenein', 'sheilagunnreid', 'andrewlawton', 'acoyne', 'abdaniellesmith', 'abstrongabfree', 'billtufts', 'themadsloth', 'steeletalk', 'premierscottmoe', 'jasminepickel', 'jenstden', 'bholathakurjr', 'maximebernier', 'candicemalcolm', 'pdf00587301', 'lwcalex', 'potus', 'biancoresearch', 'lanceroberts', 'jimiuorio', 'cordovatrades', 'drnancym_cdc', 'cpho_canada', 'pattyhajdu', 'zerohedge', 'phsaofbc', 'past', 'time', 'close', 'school', 'temporary', 'holiday', 'limit', 'transmission', 'protect', 'child', 'child', 'tremendous', 'disease', 'vector', 'aerosol', 'virus', 'like', 'covid19', 'long', 'infectious', 'incubation', 'period', 'cdnpoli', 'coronavirus', 'coronavirusoutbreak']","@CZLLLaughs @alykhansatchu @CanaryMarthaj @karldotcom @MaryamHenein @SheilaGunnReid @AndrewLawton @acoyne @ABDanielleSmith @ABStrongABFree @BillTufts @themadsloth @steeletalk @PremierScottMoe @JasminePickel @JenStDen @bholathakurJr @MaximeBernier @CandiceMalcolm @pdf00587301 @lwcalex @POTUS @biancoresearch @LanceRoberts @jimiuorio @CordovaTrades @DrNancyM_CDC @CPHO_Canada @PattyHajdu @zerohedge @PHSAofBC It is past time to close schools w/ a temporary 'holiday' to limit transmission &amp; protect children.

Children are tremendous disease vectors w/ a aerosol virus like #COVID19 w/ long infectious incubation period.

https://t.co/8uIvepoHpw #cdnpoli #CoronaVirus #CoronavirusOutbreak",True,0,0,,,"['RealDavidJensen', 'CZLLLaughs', 'alykhansatchu', 'CanaryMarthaj', 'karldotcom', 'MaryamHenein', 'SheilaGunnReid', 'AndrewLawton', 'acoyne']",,,-113.64258,60.10867
1236783726878588928,Sun Mar 08 22:39:53 +0000 2020,ZiadFazel,Twitter for iPhone,"['switzerland', 'take', 'approach', 'covid19', 'track', 'slow', 'spread', 'focus', 'protect', 'vulnerable', 'school', 'closure', 'closure', 'mean', 'child', 'look', 'grandparent', 'situation', 'want']","Switzerland takes new approach against #covid19. Not just tracking and slowing spread, now focus is on protecting vulnerable.
No school closures:
« Closures mean children being looked after by grandparents and this is “not the situation we want.”»
https://t.co/8JxHszuSeq",True,0,0,['covid19'],,['estolte'],Calgary,Alberta,-114.08529,51.05011
1236782707138596865,Sun Mar 08 22:35:50 +0000 2020,envirojen,Twitter for iPhone,"['liveactionfloyd', 'desperate', 'parent', 'content', 'mine', 'start', 'daycare', 'january', 'walk', 'virus', 'cough', 'cold', 'pneumonia', 'vomit', 'fever', 'wake', 'multiple', 'time', 'night', 'hope', 'sleep', 'soon']","@liveactionfloyd I am here for all the desperate parent content.  Mine started daycare in January and has been a walking virus (cough, cold, pneumonia, vomiting, fever) that wakes multiple times per night. I hope you get some sleep soon.",False,0,0,,['https://twitter.com/i/web/status/1236782707138596865'],['liveactionfloyd'],Halifax,Nova Scotia,-63.57239,44.64533
